,labels,content_clean,mapping
0,0, nice new signage. are you not concerned by beatlemania  style hysterical crowds crongregating on you… ,not-hate
1,1,a woman who you fucked multiple times saying yo dick small is a compliment you know you hit that spot smiling face with sunglasses ,hate
2,1,  real talk do you have eyes or were they gouged out by a rapefugee? ,hate
3,1,your girlfriend lookin at me like a groupie in this bitch! ,hate
4,0,hysterical woman like  ,not-hate
5,0,me flirting  so tell me about your father... ,not-hate
6,0,"the philippine catholic bishops' work for migrant workers should focus on families who are ""paying the great... ",not-hate
7,1,i am not going after your ex bf you lieing sack of shit ! I am done with you dude that is why i dumped your ass because your a lieing face with tears of joypouting face bitch ,hate
8,0,when cuffin season is finally over ,not-hate
9,1,"send home migrants not in need of protection, peter dutton tells un, hey dutton how about the ones that have stayed and not left the country when they should overstayers ? why do not you go and round all them up ?  ",hate
10,1,"cory booker and kamala harris competing for most hysterical woman at the kavanaugh hearings, coulter hilariously tweeted.and yes, liberals immediately got triggered on twitter, saying her joke was offensive. to them we say, suck it up, snowflakes. ",hate
11,0,only that in you which is me can hear what I am saying.  baba ram dass ,not-hate
12,1,should have let the libyan manchester bomber rot in his own country. how many more mass murderers did the royal navy import to britain? how many more terrorists do the ngo's rescue from international waters?  refugeesnotwelcome ,hate
13,0,more migrants take sea route to  spain than italy this year  un ,not-hate
14,0,"essential reading for those in scribner, nebraska who are considering an anti immigrant ballot measure. ",not-hate
15,1,"this account was temporarily inactive due to an irrational woman reporting us to twitter. what a lack of judgement, shocking.  yesallmen ",hate
16,0,retweet   i am flattered tbh. i got an orgasm just by thinking of it you really are good at this. ,not-hate
17,0,"making them look  anatomically correct  just makes them... bland. not all women are tiny and fit, not all men are bulky. ",not-hate
18,1,listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes ,hate
19,1,  keep calling her a bitch and a who are dude real grown up. ,hate
20,1,"glad your having another nice vacation. how is the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going?       ",hate
21,1," unchecked populationandmigration to cities is biggest evil for dirty india.disincentive large families,such as withdrawl of sops ",hate
22,1,"illegal alien hit man, dragged him for blocks in deadly dui crash  buildthewall  noamnesty  nodaca  deportthemall  keepamericasafe ",hate
23,0,an honest article about illegal immigration by a lefty?? are pigs flying?       a miracle... ,not-hate
24,0,    please spread the word      using frequent flyer miles to reunite immigrant families! ,not-hate
25,1,"knuckle up because I will fight for mines yo pussy petty, you wasting time .. you seasonal, part time you get fucked up fuckin with  mine you lil bitch ",hate
26,0,"yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters'   long history of using that shit to dismi… ",not-hate
27,0, not all men are animals. you libs want muslims to come over still? better pick a side. ,not-hate
28,0,"federal judge to  trump  ""imminent danger"" of ""irreparable injury to  refugees, visa holders"", etc.  ",not-hate
29,1,this bitch whom i will not name on facebook is such a shameless woman ruining a relationship.  getalife  stopspreadinglies  hoe ,hate
30,1,  omg he gave her his number and she did not say no what a cunt the girl is the cunt for giving it to some random fucktard ,hate
31,0,why we need to protect refugees from the ‘˜big ideas’ designed to save them        ,not-hate
32,0,kevin rosero of the latino immigrant experience oral history project  njhric  newarkpubliclibrary needs help identifying newark latino immigrant residents to interview and capture their stories and experiences. more info  ,not-hate
33,0, are you pussy grabbing tonight?? ,not-hate
34,0,"some people really do not understand why i get so upset at injustices happening in this country. trust me, it is not that i like getting my panties in a wad over dumb things. it is the fact that people like me  minority, brown, immigrant, etc  r suffering and it affects me directly ",not-hate
35,0,I have been called a son of a who are and a cunt today already. it is not even 1 yet ,not-hate
36,0,"pope francis  immigrants provide ‘˜enrichment’ to society, not ‘˜threats’ ",not-hate
37,0,"what were they planning to do with the immigrant children they kidnapped? slavery, sex traffic, organ harvesting? ",not-hate
38,0,masturbate intensive for that who are slut ,not-hate
39,0,the truth about  immigration ,not-hate
40,1,  must make illegal  immigration and over stays a felon pass mandatory e verify for  jobs and welfare   trump  maga  rednationrising ,hate
